Z,,Element,Z/A,I (eV),Density (g/cm3)
1,H ,Hydrogen,0.99212,19.2,8.38E-05
2,He,Helium,0.49968,41.8,1.66E-04
3,Li,Lithium,0.43221,40,5.34E-01
4,Be,Beryllium,0.44384,63.7,1.85E+00
5,B ,Boron ,0.46245,76,2.37E+00
6,C ,Carbon / Graphite,0.49954,78,1.70E+00
7,N ,Nitrogen,0.49976,82,1.17E-03
8,O ,Oxygen,0.50002,95,1.33E-03
9,F ,Fluorine,0.47372,115,1.58E-03
10,Ne,Neon  ,0.49555,137,8.39E-04
11,Na,Sodium,0.47847,149,9.71E-01
12,Mg,Magnesium,0.49373,156,1.74E+00
13,Al,Aluminum,0.48181,166,2.70E+00
14,Si,Silicon,0.49848,173,2.33E+00
15,P ,Phosphorus,0.48428,173,2.20E+00
16,S ,Sulfur,0.49897,180,2.00E+00
17,Cl,Chlorine,0.47951,174,3.00E-03
18,Ar,Argon ,0.45059,188,1.66E-03
19,K ,Potassium,0.48595,190,8.62E-01
20,Ca,Calcium,0.49903,191,1.55E+00
21,Sc,Scandium,0.46712,216,2.99E+00
22,Ti,Titanium,0.45948,233,4.54E+00
23,V ,Vanadium,0.4515,245,6.11E+00
24,Cr,Chromium,0.46157,257,7.18E+00
25,Mn,Manganese,0.45506,272,7.44E+00
26,Fe,Iron  ,0.46556,286,7.87E+00
27,Co,Cobalt,0.45815,297,8.90E+00
28,Ni,Nickel,0.47708,311,8.90E+00
29,Cu,Copper,0.45636,322,8.96E+00
30,Zn,Zinc  ,0.45879,330,7.13E+00
31,Ga,Gallium,0.44462,334,5.90E+00
32,Ge,Germanium,0.44071,350,5.32E+00
33,As,Arsenic,0.44046,347,5.73E+00
34,Se,Selenium,0.4306,348,4.50E+00
35,Br,Bromine,0.43803,343,7.07E-03
36,Kr,Krypton,0.42959,352,3.48E-03
37,Rb,Rubidium,0.43291,363,1.53E+00
38,Sr,Strontium,0.43369,366,2.54E+00
39,Y ,Yttrium,0.43867,379,4.47E+00
40,Zr,Zirconium,0.43848,393,6.51E+00
41,Nb,Niobium,0.4413,417,8.57E+00
42,Mo,Molybdenum,0.43777,424,1.02E+01
43,Tc,Technetium,0.43919,428,1.15E+01
44,Ru,Ruthenium,0.43534,441,1.24E+01
45,Rh,Rhodium,0.43729,449,1.24E+01
46,Pd,Palladium,0.43225,470,1.20E+01
47,Ag,Silver,0.43572,470,1.05E+01
48,Cd,Cadmium,0.427,469,8.65E+00
49,In,Indium,0.42676,488,7.31E+00
50,Sn,Tin   ,0.4212,488,7.31E+00
51,Sb,Antimony,0.41889,487,6.69E+00
52,Te,Tellurium,0.40752,485,6.24E+00
53,I ,Iodine,0.41764,491,4.93E+00
54,Xe,Xenon ,0.4113,482,5.49E-03
55,Cs,Cesium,0.41383,488,1.87E+00
56,Ba,Barium,0.40779,491,3.50E+00
57,La,Lanthanum,0.41035,501,6.15E+00
58,Ce,Cerium,0.41395,523,6.66E+00
59,Pr,Praseodymium,0.41871,535,6.71E+00
60,Nd,Neodymium,0.41597,546,6.90E+00
61,Pm,Promethium,0.42094,560,7.22E+00
62,Sm,Samarium,0.41234,574,7.46E+00
63,Eu,Europium,0.41457,580,5.24E+00
64,Gd,Gadolinium,0.40699,591,7.90E+00
65,Tb,Terbium,0.409,614,8.23E+00
66,Dy,Dysprosium,0.40615,628,8.55E+00
67,Ho,Holmium,0.40623,650,8.80E+00
68,Er,Erbium,0.40655,658,9.07E+00
69,Tm,Thulium,0.40844,674,9.32E+00
70,Yb,Ytterbium,0.40453,684,6.73E+00
71,Lu,Lutetium,0.40579,694,9.84E+00
72,Hf,Hafnium,0.40338,705,1.33E+01
73,Ta,Tantalum,0.40343,718,1.67E+01
74,W ,Tungsten,0.4025,727,1.93E+01
75,Re,Rhenium,0.40278,736,2.10E+01
76,Os,Osmium,0.39958,746,2.26E+01
77,Ir,Iridium,0.40058,757,2.24E+01
78,Pt,Platinum,0.39984,790,2.15E+01
79,Au,Gold  ,0.40108,790,1.93E+01
80,Hg,Mercury,0.39882,800,1.36E+01
81,Tl,Thallium,0.39631,810,1.17E+01
82,Pb,Lead  ,0.39575,823,1.14E+01
83,Bi,Bismuth,0.39717,823,9.75E+00
84,Po,Polonium,0.40195,830,9.32E+00
85,At,Astatine,0.40479,825,1.00E+01
86,Rn,Radon ,0.38736,794,9.07E-03
87,Fr,Francium,0.3901,827,1.00E+01
88,Ra,Radium,0.38934,826,5.00E+00
89,Ac,Actinium,0.39202,841,1.01E+01
90,Th,Thorium,0.38787,847,1.17E+01
91,Pa,Protactinium,0.39388,878,1.54E+01
92,U ,Uranium,0.38651,890,1.90E+01
