n,z,electronCapture(keV)
1,2,-18.59202
2,2,-22196.2131
3,2,-21661.2131
4,2,-24283.6294
5,2,-23062
1,3,22898.274
2,3,447.6529
3,3,-3505.2147
4,3,-11166.0229
5,3,-10663.8784
6,3,-15980.9213
7,3,-16144.5191
1,4,25460
2,4,4288.1534
3,4,861.893
4,4,-16004.1329
5,4,-13606.4541
6,4,-20445.1411
7,4,-20551.0898
8,4,-23931.8152
9,4,-23321.8152
1,5,28945
2,5,11907.5551
3,5,17979.8973
4,5,1068.0349
5,5,-556.8759
6,5,-11509.4607
7,5,-11708.3636
8,5,-17097.1315
9,5,-16290.8166
10,5,-20868.4411
11,5,-20335.4399
2,6,12142.7002
3,6,16494.4854
4,6,3648.0623
5,6,1981.6889
6,6,-13369.3979
7,6,-13436.9387
8,6,-20643.7926
9,6,-19084.2343
10,6,-23417.5656
11,6,-22684.4422
12,6,-26873.3742
13,6,-27356.4961
14,6,-31898.0019
15,6,-32740
3,7,23101.3545
4,7,13716.2469
5,7,17338.0681
6,7,2220.4718
7,7,-156.4765
8,7,-9771.7071
9,7,-8010.226
10,7,-13161.8007
11,7,-11806.0982
12,7,-16557.4995
13,7,-15737.0689
14,7,-20411
15,7,-21846.3983
16,7,-27450
3,8,23373.2693
4,8,14675.2668
5,8,17769.9506
6,8,5144.3643
7,8,2754.1841
8,8,-10420.9094
9,8,-8678.843
10,8,-13895.9838
11,8,-12523.3972
12,8,-17970.3261
13,8,-17169.8816
14,8,-22481.7725
15,8,-22099.0584
16,8,-28438
17,8,-28654
4,9,18915
5,9,23956.6215
6,9,13711.13
7,9,15412.184
8,9,2760.4655
9,9,1655.9288
10,9,-4820.3029
11,9,-3813.6349
12,9,-8109.639
13,9,-6489.6562
14,9,-11336.1072
15,9,-10955.8885
16,9,-15994.8633
17,9,-15986.3855
18,9,-19536
19,9,-18676
5,10,23648.6215
6,10,13311.5932
7,10,14548.7507
8,10,4444.5049
9,10,3239.4986
10,10,-7024.4689
11,10,-5684.1712
12,10,-10818.0916
13,10,-8439.3084
14,10,-13496.1583
15,10,-13369.6698
16,10,-18193.5414
17,10,-18082.568
18,10,-22104.0579
19,10,-21750.3873
20,10,-25680
21,10,-25661
6,11,18219.1277
7,11,19720.3745
8,11,11177.331
9,11,13892.4207
10,11,3546.919
11,11,2843.3243
12,11,-4375.8085
13,11,-2466.2583
14,11,-7322.3107
15,11,-7341.894
16,11,-12568.7005
17,11,-12288.0534
18,11,-15719.8092
19,11,-14805.4501
20,11,-18935.5625
21,11,-18359
22,11,-22350
23,11,-21161
7,12,18909.0095
8,12,10627.2054
9,12,13088.708
10,12,4781.4051
11,12,4056.179
12,12,-5515.6774
13,12,-3834.9684
14,12,-9353.7631
15,12,-9068.8037
16,12,-14031.6303
17,12,-13292.3538
18,12,-17356.0423
19,12,-15368.1833
20,12,-19469.0523
21,12,-18817.24
22,12,-23356.7903
23,12,-22192
24,12,-25523
25,12,-24923
26,12,-27831
27,12,-27201
8,13,16186
9,13,18601
10,13,12221.7457
11,13,13884.766
12,13,4276.808
13,13,4004.4042
14,13,-2610.2694
15,13,-1830.774
16,13,-7595.4023
17,13,-6982.744
18,13,-11828.5569
19,13,-10270.4677
20,13,-13460.255
21,13,-11320.9428
22,13,-15863.5156
23,13,-14429.7751
24,13,-18401.9132
25,13,-17604
26,13,-21286
27,13,-20729
28,13,-23510
8,14,15439
9,14,17202
10,14,10793.9978
11,14,12743.2956
12,14,5069.1361
13,14,4812.3583
14,14,-4642.0776
15,14,-3687.3192
16,14,-8568.8459
17,14,-7998.3286
18,14,-12978.3208
19,14,-12016.946
20,14,-16994.0653
21,14,-14167.7504
22,14,-18386.5096
23,14,-16381.0765
24,14,-20640
25,14,-19169
26,14,-23154
27,14,-21390
28,14,-25150
29,14,-23940
9,15,23275
10,15,16363
11,15,18114
12,15,11725.473
13,15,14344.9407
14,15,4942.2325
15,15,4232.1065
16,15,-1491.5071
17,15,-227.1872
18,15,-5823.0223
19,15,-4557.0175
20,15,-10466.3291
21,15,-7814.9194
22,15,-12424.5003
23,15,-10451.2656
24,15,-15094.9874
25,15,-13806.0653
26,15,-18180
27,15,-15748
28,15,-19289
29,15,-18200
30,15,-21130
10,16,16707
11,16,18150
12,16,11221.0593
13,16,13858.4257
14,16,6141.6014
15,16,5398.013
16,16,-1710.6608
17,16,-248.5079
18,16,-5382.9879
19,16,-3988.4006
20,16,-10413.0962
21,16,-7900.4135
22,16,-12239.6512
23,16,-10388.0361
24,16,-14698.6603
25,16,-14028.8125
26,16,-18729.5899
27,16,-17236
28,16,-20314
29,16,-19301
30,16,-22200
31,16,-21610
11,17,24197
12,17,17117
13,17,18733.802
14,17,12007.979
15,17,12680.8313
16,17,5582.5182
17,17,5491.6037
18,17,-167.3218
19,17,1142.1329
20,17,-4865.1258
21,17,-2936.9
22,17,-6637.5463
23,17,-4719.9687
24,17,-8298.6116
25,17,-7194.0221
26,17,-11964.05
27,17,-11274.7373
28,17,-14922
29,17,-14375
30,17,-16781
31,17,-16670
32,17,-19652
11,18,23947
12,18,17397
13,18,18360
14,18,11134.3536
15,18,11619.0452
16,18,6061.793
17,18,5966.2429
18,18,-709.5343
19,18,813.8729
20,18,-4916.7109
21,18,-3441.9774
22,18,-7482.0816
23,18,-5760.318
24,18,-9590.9082
25,18,-7850.3002
26,18,-12194.2869
27,18,-11508.2568
28,18,-16036.3062
29,18,-15787
30,18,-18075
31,18,-17800
32,18,-20930
33,18,-20780
34,18,-23739
12,19,22935
13,19,24190
14,19,16925
15,19,17158
16,19,11874.3955
17,19,12814.3607
18,19,6147.4775
19,19,5914.0671
20,19,-565
21,19,1504.4031
22,19,-2492.0392
23,19,-599.3527
24,19,-4565.5836
25,19,-3108.2375
26,19,-6844.8422
27,19,-5642.6746
28,19,-10344.7078
29,19,-9929.555
30,19,-12551
31,19,-12498
32,19,-16026
33,19,-15758
34,19,-19086
35,19,-17710
13,20,23489
14,20,16110
15,20,16363
16,20,10966.0155
17,20,11664.1314
18,20,6742.2563
19,20,6524.4888
