n,z,alpha(keV)
2,2,0
3,2,735
2,3,1964.9999
3,3,-1473.7583
4,3,-2467.6221
5,3,-6100.2403
6,3,-10362.4579
7,3,-11248.0128
8,3,-10832
3,4,-1587.1371
4,4,91.8399
5,4,-2307.6989
6,4,-7409.5245
7,4,-8320.8746
8,4,-8956.8373
9,4,-9701.6627
10,4,-11667.5601
2,5,-3415
3,5,-4826.5368
4,5,-1687.3169
5,5,-4461.1857
6,5,-8664.3124
7,5,-10001.3225
8,5,-10817.8729
9,5,-11813.8576
10,5,-14195.795
11,5,-14322.7938
12,5,-15689.4889
3,6,-10653
4,6,-5101.2767
5,6,-7544.5165
6,6,-7366.5875
7,6,-10648.3575
8,6,-12012.5091
9,6,-12728.9395
10,6,-13808.5442
11,6,-15052.1159
12,6,-17460.1527
13,6,-19836.982
14,6,-22368.4878
3,7,-10945
4,7,-5735.8247
5,7,-8008.4167
6,7,-9495.9206
7,7,-11612.1097
8,7,-10991.1859
9,7,-10110.4066
10,7,-11116.7852
11,7,-12975.4343
12,7,-15526.0403
13,7,-17770.1168
14,7,-20909.3222
15,7,-22452.7511
16,7,-25474.7374
17,7,-24888
18,7,-24825
4,8,-5475.8501
5,8,-8220.4554
6,8,-10115.8076
7,8,-10218.6907
8,8,-7161.918
9,8,-6358.6894
10,8,-6227.6255
11,8,-8965.2032
12,8,-12322.8773
13,8,-15394.7616
14,8,-18061.1494
15,8,-20217.2997
16,8,-21428.0782
17,8,-20739
18,8,-21375.0782
19,8,-21926
5,9,-9260.5406
6,9,-10223.8076
7,9,-9087.8022
8,9,-5818.6957
9,9,-4415.2202
10,9,-4013.7991
11,9,-8126.2863
12,9,-10342.5998
13,9,-12744.7075
14,9,-14995.9075
15,9,-16646.8978
16,9,-16322.6644
17,9,-15515.0654
18,9,-14011.8669
19,9,-15959
20,9,-18258
5,10,-9948.4554
6,10,-10451.4758
7,10,-9039.8956
8,10,-5115.0797
9,10,-3528.4845
10,10,-4729.8459
11,10,-7347.928
12,10,-9666.8153
13,10,-10911.8187
14,10,-12172.73
15,10,-12522.4526
16,10,-11226.8344
17,10,-9995.3765
18,10,-9625.5821
19,10,-11354.143
20,10,-13805.8365
21,10,-15913
22,10,-17506
6,11,-9735
7,11,-9351.3267
8,11,-6062.2835
9,11,-6249.6092
10,11,-6561.4745
11,11,-8479.4198
12,11,-10467.3243
13,11,-10825.3534
14,11,-11735.1243
15,11,-12079.0722
16,11,-11227.9698
17,11,-10957.747
18,11,-11079.0889
19,11,-12624.9011
20,11,-15312.3624
21,11,-17188.5604
22,11,-18794.9932
23,11,-19705
24,11,-21436
7,12,-10801.8956
8,12,-8933.997
9,12,-8021.5172
10,12,-8142.5196
11,12,-9650.644
12,12,-9316.5618
13,12,-9885.9215
14,12,-10614.7437
15,12,-11857.4651
16,12,-11493.219
17,12,-11001.7729
18,12,-11787.402
19,12,-12597.9777
20,12,-14553.5547
21,12,-15861.846
22,12,-17381.7116
23,12,-17966.7238
24,12,-19044
25,12,-20344
26,12,-21192
8,13,-10055
9,13,-9262
10,13,-8606.2292
11,13,-9324.2165
12,13,-9156.0324
13,13,-9453.6638
14,13,-10091.9259
15,13,-10857.7346
16,13,-11274.8645
17,13,-11428.2519
18,13,-11857.8341
19,13,-12535.969
20,13,-13602.2918
21,13,-13897.2044
22,13,-14894.677
23,13,-15114.6831
24,13,-16395.4644
25,13,-17635
26,13,-18767
27,13,-19507
28,13,-20969
29,13,-22340
30,13,-24132
9,14,-10314
10,14,-9157.4242
11,14,-9501.4448
12,14,-9165.9328
13,14,-9335.7466
14,14,-9984.1348
15,14,-11127.2154
16,14,-10643.3347
17,14,-10787.359
18,14,-11482.6595
19,14,-12326.8839
20,14,-13535.2274
21,14,-13694.2441
22,14,-14032.1404
23,14,-13959.3009
