n,z,positronEmission(keV)
1,2,-1040.58982
2,2,-23218.210900000002
3,2,-22683.210900000002
4,2,-25305.627200000003
5,2,-24083.9978
1,3,21876.2762
2,3,-574.3449
3,3,-4527.2125
4,3,-12188.0207
5,3,-11685.876199999999
6,3,-17002.9191
7,3,-17166.5169
1,4,24438.0022
2,4,3266.1556
3,4,-160.10479999999995
4,4,-17026.1307
5,4,-14628.4519
6,4,-21467.1389
7,4,-21573.087600000003
8,4,-24953.813000000002
9,4,-24343.813000000002
1,5,27923.0022
2,5,10885.5573
3,5,16957.8995
4,5,46.03710000000012
5,5,-1578.8737
6,5,-12531.458499999999
7,5,-12730.3614
8,5,-18119.1293
9,5,-17312.8144
10,5,-21890.4389
11,5,-21357.437700000002
2,6,11120.7024
3,6,15472.487600000002
4,6,2626.0645
5,6,959.6911000000001
6,6,-14391.3957
7,6,-14458.9365
8,6,-21665.7904
9,6,-20106.2321
10,6,-24439.563400000003
11,6,-23706.440000000002
12,6,-27895.372
13,6,-28378.4939
14,6,-32919.9997
15,6,-33761.9978
3,7,22079.3567
4,7,12694.2491
5,7,16316.070300000001
6,7,1198.4739999999997
7,7,-1178.4742999999999
8,7,-10793.704899999999
9,7,-9032.2238
10,7,-14183.798499999999
11,7,-12828.096
12,7,-17579.497300000003
13,7,-16759.0667
14,7,-21432.9978
15,7,-22868.3961
16,7,-28471.9978
3,8,22351.2715
4,8,13653.269
5,8,16747.9528
6,8,4122.3665
7,8,1732.1862999999998
8,8,-11442.9072
9,8,-9700.8408
10,8,-14917.9816
11,8,-13545.394999999999
12,8,-18992.3239
13,8,-18191.8794
14,8,-23503.7703
15,8,-23121.056200000003
16,8,-29459.9978
17,8,-29675.9978
4,9,17893.0022
5,9,22934.6237
6,9,12689.1322
7,9,14390.1862
8,9,1738.4676999999997
9,9,633.9309999999999
10,9,-5842.3007
11,9,-4835.6327
12,9,-9131.6368
13,9,-7511.654
14,9,-12358.105
15,9,-11977.886299999998
16,9,-17016.861100000002
17,9,-17008.3833
18,9,-20557.9978
19,9,-19697.9978
5,10,22626.6237
6,10,12289.5954
7,10,13526.752900000001
8,10,3422.5071
9,10,2217.5008
10,10,-8046.4667
11,10,-6706.169
12,10,-11840.089399999999
13,10,-9461.306199999999
14,10,-14518.156099999998
15,10,-14391.667599999999
16,10,-19215.5392
17,10,-19104.5658
18,10,-23126.0557
19,10,-22772.3851
20,10,-26701.9978
21,10,-26682.9978
6,11,17197.1299
7,11,18698.3767
8,11,10155.333200000001
9,11,12870.422900000001
10,11,2524.9211999999998
11,11,1821.3265000000001
12,11,-5397.8063
13,11,-3488.2561
14,11,-8344.3085
15,11,-8363.8918
16,11,-13590.6983
17,11,-13310.0512
18,11,-16741.807
19,11,-15827.4479
20,11,-19957.5603
21,11,-19380.9978
22,11,-23371.9978
23,11,-22182.9978
7,12,17887.0117
8,12,9605.207600000002
9,12,12066.710200000001
10,12,3759.4073
11,12,3034.1812
12,12,-6537.6752
13,12,-4856.9662
14,12,-10375.7609
15,12,-10090.8015
16,12,-15053.6281
17,12,-14314.3516
18,12,-18378.040100000002
19,12,-16390.1811
20,12,-20491.0501
21,12,-19839.237800000003
22,12,-24378.7881
23,12,-23213.9978
24,12,-26544.9978
25,12,-25944.9978
26,12,-28852.9978
27,12,-28222.9978
8,13,15164.0022
9,13,17579.0022
10,13,11199.7479
11,13,12862.7682
12,13,3254.8102
13,13,2982.4064
14,13,-3632.2672000000002
15,13,-2852.7718
16,13,-8617.400099999999
17,13,-8004.7418
18,13,-12850.554699999999
19,13,-11292.465499999998
20,13,-14482.252799999998
21,13,-12342.9406
22,13,-16885.5134
23,13,-15451.7729
24,13,-19423.911
25,13,-18625.9978
26,13,-22307.9978
27,13,-21750.9978
28,13,-24531.9978
8,14,14417.0022
9,14,16180.0022
10,14,9772
11,14,11721.2978
12,14,4047.1382999999996
13,14,3790.3605
14,14,-5664.0754
15,14,-4709.317
16,14,-9590.8437
17,14,-9020.3264
18,14,-14000.318599999999
19,14,-13038.9438
20,14,-18016.0631
21,14,-15189.7482
22,14,-19408.507400000002
23,14,-17403.0743
24,14,-21661.9978
25,14,-20190.9978
26,14,-24175.9978
27,14,-22411.9978
28,14,-26171.9978
29,14,-24961.9978
9,15,22253.0022
10,15,15341.0022
11,15,17092.0022
12,15,10703.4752
13,15,13322.9429
14,15,3920.2347
15,15,3210.1086999999998
16,15,-2513.5049
17,15,-1249.185
18,15,-6845.0201
19,15,-5579.0153
20,15,-11488.3269
21,15,-8836.9172
22,15,-13446.498099999999
23,15,-11473.2634
24,15,-16116.9852
25,15,-14828.0631
26,15,-19201.9978
27,15,-16769.9978
28,15,-20310.9978
29,15,-19221.9978
30,15,-22151.9978
10,16,15685.0022
11,16,17128.0022
12,16,10199.061500000002
13,16,12836.4279
14,16,5119.6035999999995
15,16,4376.0152
16,16,-2732.6586
17,16,-1270.5057
18,16,-6404.9857
19,16,-5010.3984
20,16,-11435.094
21,16,-8922.4113
22,16,-13261.649
23,16,-11410.033899999999
24,16,-15720.658099999999
25,16,-15050.8103
26,16,-19751.5877
27,16,-18257.9978
28,16,-21335.9978
29,16,-20322.9978
30,16,-23221.9978
31,16,-22631.9978
11,17,23175.0022
12,17,16095.0022
13,17,17711.8042
14,17,10985.9812
15,17,11658.8335
16,17,4560.5204
17,17,4469.6059
18,17,-1189.3196
19,17,120.13510000000008
20,17,-5887.1236
21,17,-3958.8978
22,17,-7659.5441
23,17,-5741.9665
24,17,-9320.6094
25,17,-8216.0199
26,17,-12986.047799999998
27,17,-12296.7351
28,17,-15943.9978
29,17,-15396.9978
30,17,-17802.9978
31,17,-17691.9978
32,17,-20673.9978
11,18,22925.0022
12,18,16375.0022
13,18,17338.0022
14,18,10112.355800000001
15,18,10597.047400000001
16,18,5039.7952
17,18,4944.2451
18,18,-1731.5321
19,18,-208.12490000000003
20,18,-5938.7087
21,18,-4463.9752
22,18,-8504.0794
23,18,-6782.3158
24,18,-10612.905999999999
25,18,-8872.297999999999
26,18,-13216.284699999998
27,18,-12530.254599999998
28,18,-17058.304
29,18,-16808.9978
30,18,-19096.9978
31,18,-18821.9978
32,18,-21951.9978
33,18,-21801.9978
34,18,-24760.9978
12,19,21913.0022
13,19,23168.0022
14,19,15903.0022
15,19,16136.0022
16,19,10852.397700000001
17,19,11792.3629
18,19,5125.4797
19,19,4892.0693
20,19,-1586.9978
21,19,482.4053
22,19,-3514.0370000000003
23,19,-1621.3505
24,19,-5587.5814
25,19,-4130.2353
26,19,-7866.84
27,19,-6664.6724
28,19,-11366.7056
29,19,-10951.5528
30,19,-13572.9978
31,19,-13519.9978
32,19,-17047.9978
33,19,-16779.9978
34,19,-20107.9978
35,19,-18731.9978
13,20,22467.0022
14,20,15088.0022
15,20,15341.0022
16,20,9944.0177
17,20,10642.133600000001
18,20,5720.2585
19,20,5502.491
20,20,-2332.9029
21,20,-600.3571999999999
22,20,-4547.2604
23,20,-2855.4761
24,20,-6709.2297
25,20,-5218.5846
26,20,-8747.678
27,20,-7654.6815
28,20,-12962.3835
29,20,-12710.5047
30,20,-14883.375199999999
31,20,-14838.850699999999
32,20,-18150.640900000002
33,20,-18113.9831
34,20,-21031.9978
35,20,-20142.9978
36,20,-22512.9978
37,20,-21710.9978
38,20,-24482.9978
39,20,-23961.9978
14,21,20888.0022
15,21,21579.0022
16,21,15894.0022
17,21,16787.0022
18,21,12087.982600000001
19,21,13301.051500000001
20,21,5473.5504
21,21,5404.2926
22,21,1198.7248999999997
23,21,2630.697
24,21,-1282.0888
25,21,355.9687
26,21,-3014.1748
27,21,-1301.2133
28,21,-6284.4423
29,21,-5969.8881
