n,z,halflife(Seconds)
1,0,613.9
1,1,STABLE
2,1,388789632
4,1,7.994736842105262e-23
5,1,2.8481249999999997e-22
1,2,STABLE
2,2,STABLE
3,2,7.595e-22
4,2,0.8067000000000001
5,2,3.038e-21
6,2,0.1191
8,2,1.519e-21
1,3,7.557213930348257e-23
2,3,3.038e-22
3,3,STABLE
4,3,STABLE
5,3,0.8399
6,3,0.17830000000000001
8,3,0.00875
2,4,4.953260869565218e-21
3,4,4598208
4,4,8.181328545780969e-17
5,4,STABLE
6,4,47651976000000
7,4,13.76
8,4,0.02147
9,4,2.7e-21
10,4,0.00435
11,4,7.856896551724138e-22
12,4,5.696249999999999e-22
2,5,3.255e-22
3,5,0.77
4,5,8.438888888888889e-19
5,5,STABLE
6,5,STABLE
7,5,0.0202
8,5,0.017329999999999998
9,5,0.01236
10,5,0.01018
12,5,0.00508
14,5,0.00292
2,6,1.981304347826087e-21
3,6,0.1265
4,6,19.308
5,6,1221.8400000000001
6,6,STABLE
7,6,STABLE
8,6,179878320000
9,6,2.449
10,6,0.747
11,6,0.191
12,6,0.092
13,6,0.046200000000000005
14,6,0.0162
16,6,0.0060999999999999995
4,7,5.4903614457831325e-22
5,7,0.011
6,7,597.9
7,7,STABLE
8,7,STABLE
9,7,7.13
10,7,4.171
11,7,0.619
12,7,0.336
13,7,0.136
14,7,0.0848
15,7,0.0195
16,7,0.0141
4,8,1.1392499999999999e-21
5,8,0.00858
6,8,70.62
7,8,122.24
8,8,STABLE
9,8,STABLE
10,8,STABLE
11,8,26.88
12,8,13.51
13,8,3.42
14,8,2.25
15,8,0.097
16,8,0.07200000000000001
17,8,6.3e-21
18,8,4.5e-12
5,9,5.007692307692308e-22
6,9,6.904545454545455e-22
7,9,1.13925e-20
8,9,64.49
9,9,6586.2
10,9,STABLE
11,9,11.07
12,9,4.158
13,9,4.23
14,9,2.23
15,9,0.382
16,9,0.08
17,9,0.008199999999999999
18,9,0.005
19,9,4.6000000000000004e-20
20,9,0.00267
6,10,9e-21
7,10,0.1092
8,10,1.667
9,10,17.22
10,10,STABLE
11,10,STABLE
12,10,STABLE
13,10,37.24
14,10,202.79999999999998
15,10,0.602
16,10,0.197
17,10,0.0315
18,10,0.02
19,10,0.015
20,10,0.00739
21,10,0.0034
22,10,0.0035
24,10,6.000000000000001e-8
7,11,1.3e-21
9,11,0.44789999999999996
10,11,22.49
11,11,82106563.67999999
12,11,STABLE
13,11,53989.2
14,11,59.1
15,11,1.07128
16,11,0.301
17,11,0.0305
18,11,0.0441
19,11,0.048
20,11,0.0174
21,11,0.0132
22,11,0.0081
23,11,0.005
24,11,0.0018000000000000002
7,12,4e-12
8,12,0.0908
9,12,0.122
10,12,3.8755
11,12,11.317
12,12,STABLE
13,12,STABLE
14,12,STABLE
15,12,567.48
16,12,75294
17,12,1.3
18,12,0.317
19,12,0.23600000000000002
20,12,0.08600000000000001
21,12,0.08940000000000001
22,12,0.02
23,12,0.011300000000000001
24,12,0.0058
25,12,0.008
9,13,0.0911
10,13,0.47
11,13,2.053
12,13,7.183
13,13,22626799200000
14,13,STABLE
15,13,134.70000000000002
16,13,393.59999999999997
17,13,3.62
18,13,0.644
19,13,0.0319
